[Investment Summary]
Particulars,Value
Total Deposit,💵 10468                        
Total Withdrawal,💵 -6915                        
<b>Total Invested</b>,💵 <b>3553                        </b>
Closed Equity,📑 -2202                        
Closed Options,📑 3248                        
Brokerage,🏦 -151                        
<b>Realised P/L</b>,💵 <b>895                        </b>
Other Charges,🏦 -22                        
<b> Matured Investment</b>,💵 <b>4426                        </b>
Active Equity,📑 -354                        
Active Options,📑 -52                        
<b>Unrealised P/L</b>,💵 <b>-406                        </b>
[Closed Equity Trades]
Symbol,Entry,Exit,Qty,Buy Price,Sell Price,Holding Period,Margin,P&L,Commission
OWL   260320C00009000,2026-03-16,2026-03-20,1.0,0.0,0.13,5,0.13,13.0,-0.00124
PFE   280121C00018000,2026-07-23,2026-07-07,1.0,6.35,7.02,-15,0.6699999999999999,67.0,-1.4172812000000001
QBTS  270319C00020000,2026-08-12,2026-08-11,1.0,5.75,5.97,0,0.21999999999999975,21.999999999999975,-1.5629482000000001
QBTS  270319P00020000,2026-08-11,2026-08-12,1.0,5.04,5.23,1,0.1900000000000004,19.00000000000004,-1.8294238
REAX  260320C00002500,2026-03-02,2026-03-20,1.0,0.0,0.31,19,0.31,31.0,-1.05124
REAX  260417C00002500,2026-03-23,2026-04-17,1.0,0.0,0.2,26,0.2,20.0,-0.05124
RIOT  260828C00020500,,2026-08-21,0.0,0.85,0.2,152,-0.6499999999999999,0.0,-0.7873
RIOT  260828P00020000,,2026-08-21,0.0,0.94,0.2,152,-0.74,0.0,-0.7873
RZLV  260327C00003000,2026-03-17,2026-03-27,1.0,0.0,0.16,11,0.16,16.0,-1.05124
STUB  260320C00010000,2026-03-03,2026-03-20,1.0,0.0,1.29,18,1.29,129.0,-1.05124
STWD  280121C00015000,,2026-06-22,0.0,1.9,1.29,111,-0.6099999999999999,0.0,0.12175
TMC   260327C00005000,2026-03-24,2026-03-27,1.0,0.0,0.24,4,0.24,24.0,-0.80124
TME   260515C00010000,2026-05-15,2026-04-14,1.0,0.55,0.0,-31,-0.55,-55.00000000000001,-0.04795
TMQ   260320C00004000,2026-03-04,2026-03-20,1.0,0.0,0.5,17,0.5,50.0,-1.05124
TMQ   260417C00004000,2026-03-23,2026-04-17,1.0,0.0,0.19,26,0.19,19.0,-0.00124
TRON  260417C00002000,2026-03-23,2026-04-16,1.0,0.0,0.3,25,0.3,30.0,-0.05124
UNG   260410C00011000,2026-04-08,2026-04-10,1.0,0.0,0.21,3,0.21,21.0,-1.0516726
UNG   260422C00011000,2026-04-21,2026-04-22,1.0,0.0,0.09,2,0.09,9.0,-1.0514254
UPXI  260313C00001000,2026-03-05,2026-03-13,1.0,0.0,0.13,9,0.13,13.0,-1.05124
UUP   260618C00028000,2026-06-11,2026-04-08,1.0,0.19,0.15,-63,-0.04000000000000001,-4.000000000000001,-2.9497989999999996
