
[Valued Low Price Stock List]
Symbol,Rank,Strength,PE,ATH%,Intrinsic,LTP,Support,Support%,Volatility%,Day Support%,DS_Signal,Week Support%,WS_Signal,Details
MAA,722,F,36.49,46,46.84,124.79,82,52.18000000000001,1.71,3.6,,3.6,2026-08-07,(Stock Name: Mid-America Apartment Communiti; Sector: Real Estate; Revenue: 222.0cr; Net Profit: 40.0cr; Recommended: hold; Projected High: 160.0; Projected Medium: 145.0; Projected Low: 121.0)
EBF,,M,12.75,17,12.3,21.3,13.98,52.35999999999999,1.56,23.47,2025-11-25,23.47,2025-11-21,(Stock Name: Ennis. Inc.; Sector: Industrials; Revenue: 39.0cr; Net Profit: 4.0cr; Recommended: none; Projected High: 24.0; Projected Medium: 24.0; Projected Low: 24.0)
GIB,782,M,12.04,43,35.88,70.21,45.73,53.53,2.24,-24.38,2026-09-11,-24.38,2026-09-11,(Stock Name: CGI Inc.; Sector: Technology; Revenue: 1644.0cr; Net Profit: 173.0cr; Recommended: buy; Projected High: 90.92941; Projected Medium: 83.35208; Projected Low: 75.77476)
BKH,1282,F,17.96,18,51.71,71.3,46.43,53.559999999999995,1.86,22.97,,22.97,2024-02-09,(Stock Name: Black Hills Corporation; Sector: Utilities; Revenue: 230.0cr; Net Profit: 30.0cr; Recommended: strong_buy; Projected High: 87.0; Projected Medium: 86.0; Projected Low: 80.0)
NWE,1474,F,25,14,47.07,69.24,45.06,53.66,1.99,27.12,,27.12,2024-02-09,(Stock Name: NorthWestern Energy Group. Inc.; Sector: Utilities; Revenue: 169.0cr; Net Profit: 17.0cr; Recommended: buy; Projected High: 78.5; Projected Medium: 73.0; Projected Low: 70.0)
EUO,,S,,18,,30.03,19.46,54.32,0.28,10.32,,10.32,2026-05-29,
TFSL,1382,F,47.25,25,6.89,17.01,10.97,55.059999999999995,1.79,26.28,,26.28,2025-04-11,(Stock Name: TFS Financial Corporation; Sector: Financial Services; Revenue: 35.0cr; Net Profit: 10.0cr; Recommended: none; Projected High: 20.0; Projected Medium: 19.0; Projected Low: 18.0)
ESS,639,F,42.58,25,82.83,272.91,175.81,55.230000000000004,1.59,12.62,2026-04-02,12.62,2026-03-27,(Stock Name: Essex Property Trust. Inc.; Sector: Real Estate; Revenue: 198.0cr; Net Profit: 41.0cr; Recommended: hold; Projected High: 352.0; Projected Medium: 302.0; Projected Low: 239.0)
RCI,690,M,4.38,44,22.2,36.21,23.18,56.21000000000001,2.48,35.98,,35.98,2025-08-15,(Stock Name: Rogers Communication. Inc.; Sector: Communication Services; Revenue: 2262.0cr; Net Profit: 617.0cr; Recommended: buy; Projected High: 42.983635; Projected Medium: 39.60632; Projected Low: 36.45757)
HDB,132,F,16.21,45,2.5,23.34,14.75,58.24,2.12,,,-19.21,2026-09-11,(Stock Name: HDFC Bank Limited; Sector: Financial Services; Revenue: 294964.0cr; Net Profit: 79013.0cr; Recommended: buy; Projected High: 35.0; Projected Medium: 30.5; Projected Low: 26.1)
SAFT,2272,M,22.24,1,59.7,103.42,65.3,58.379999999999995,0.21,35.18,,35.18,2026-03-06,(Stock Name: Safety Insurance Group. Inc.; Sector: Financial Services; Revenue: 129.0cr; Net Profit: 7.0cr; Recommended: none; Projected High: 0; Projected Medium: 0; Projected Low: 0)
